Date,CVaR_Strategy_Returns
2010-04-01,0.006741395429147062
2010-04-05,0.005936155812317091
2010-04-06,-0.00036208822528822123
2010-04-07,-0.007326735152867255
2010-04-08,0.0011044118531962981
2010-04-09,0.006584275387943255
2010-04-12,9.101151713863172e-05
2010-04-13,0.00527725507024961
2010-04-14,0.0057191023193816064
2010-04-15,-0.0008404117299677634
2010-04-16,-0.00856567404264728
2010-04-19,0.004391248970050282
2010-04-20,0.006750785976766049
2010-04-21,-0.00637309335879443
2010-04-22,0.012694024968353784
2010-04-23,0.002173814823112164
2010-04-26,0.00221256658449376
2010-04-27,-0.016618541628436206
2010-04-28,0.005444427210335396
2010-04-29,0.0077304499820604455
2010-04-30,-0.010756293448928192
2010-05-03,0.0150081397566064
2010-05-04,-0.016202444113768578
2010-05-05,7.274375045965699e-05
2010-05-06,-0.023303893380357554
2010-05-07,-0.010758478733946234
2010-05-10,0.03386896196702182
2010-05-11,-0.0002186468038984672
2010-05-12,0.014298453780476393
2010-05-13,-0.008053404230668755
2010-05-14,-0.016970191370889034
2010-05-17,0.009411286678167576
2010-05-18,-0.01257294746097232
2010-05-19,-0.0032364736543834204
2010-05-20,-0.03447230905407178
2010-05-21,0.011259470322840075
2010-05-24,-0.008705945066435824
2010-05-25,-0.0024630701490111506
2010-05-26,-0.010187857487444923
2010-05-27,0.025370919790009105
2010-05-28,-0.0084992445220062
2010-06-01,-0.007252977953458586
2010-06-02,0.01695060446625821
2010-06-03,0.0025035595101646755
2010-06-04,-0.025677440931174723
2010-06-07,-0.007603570057410915
2010-06-08,0.012975137910944616
2010-06-09,-0.0006705586172158648
2010-06-10,0.017475214077977967
2010-06-11,0.0030283171931209905
2010-06-14,0.0010527965770142122
2010-06-15,0.016070097490817975
2010-06-16,0.0012558402933831815
2010-06-17,0.005216715460305142
2010-06-18,0.003563315737988894
2010-06-21,-0.005429673134192654
2010-06-22,-0.010074436217289344
2010-06-23,-0.004351811170386676
2010-06-24,-0.009565905159287059
2010-06-25,0.000679109100161959
2010-06-28,-0.0002680917690555381
2010-06-29,-0.020884404913232818
2010-06-30,-0.011555036285296232
2010-07-01,0.0025928140240536173
2010-07-02,0.0014426575530535547
2010-07-06,0.0028687768465266296
2010-07-07,0.02424512365266035
2010-07-08,0.008953067770838343
2010-07-09,0.006990848088652346
2010-07-12,0.0008418878296375717
2010-07-13,0.007481610725274123
2010-07-14,-0.0021937130575212676
2010-07-15,0.004680465823674864
2010-07-16,-0.02216677117260703
2010-07-19,0.0031789533223035927
2010-07-20,0.012586942379195146
2010-07-21,-0.008744263657889856
2010-07-22,0.014544577741084032
2010-07-23,0.004813598739120892
2010-07-26,0.007867096742620299
2010-07-27,0.004410835524394695
2010-07-28,-0.009534335030273585
2010-07-29,-0.00884464946098874
2010-07-30,0.0019490453806135215
2010-08-02,0.010240209004897437
2010-08-03,-0.002759209609203454
2010-08-04,0.006600464739208061
2010-08-05,0.00519956238134897
2010-08-06,-5.5980732234797016e-05
2010-08-09,0.008810302122694885
2010-08-10,0.0006475187025435439
2010-08-11,-0.02120907866261459
2010-08-12,0.0037821509083124385
2010-08-13,-0.006354875905741575
2010-08-16,0.0003536126285969672
2010-08-17,0.00676683652796891
2010-08-18,0.00125590775858367
2010-08-19,-0.013207335504329178
2010-08-20,-0.0013013345481799761
2010-08-23,0.0005071200593022221
2010-08-24,-0.00405314778734497
2010-08-25,0.004685180123605188
2010-08-26,-0.0060007869941514904
2010-08-27,0.008409098005021107
2010-08-30,-0.01156774114415669
2010-08-31,0.0011831405666060581
